"ISSN","TITULO","AREA DE AVALIACAO","ESTRATO"
"2374-2429","APPLIED FINANCE AND ACCOUNTING","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"0960-3107","APPLIED FINANCIAL ECONOMICS (PRINT)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A1"
"0307-904X","APPLIED MATHEMATICAL MODELLING","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A2"
"1568-4946","APPLIED SOFT COMPUTING (PRINT)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A2"
"1524-1904","APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A2"
"2448-3524","APPLIED TOURISM","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B5"
"1657-5997","AQUICHAN (BOGOTA)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B2"
"2223-5833","ARABIAN JOURNAL OF BUSINESS AND MANAGEMENT REVIEW","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"2318-6186","ARCHEION ONLINE","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B3"
"2054-7404","ARCHIVES OF BUSINESS RESEARCH","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"1381-1118","ARCHIVES OF SUICIDE RESEARCH","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A2"
"1068-2341","ARCHIVOS ANALITICOS DE POLITICAS EDUCATIVAS / EDUCATION POLICY ANALYSIS ARCHIVES","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A1"
"1885-4494","ARCHIVOS DE ZOOTECNIA","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B2"
"0004-0592","ARCHIVOS DE ZOOTECNIA","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B2"
"0004-0622","ARCHIVOS LATINOAMERICANOS DE NUTRICION","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A2"
